dni_pac , fecha_solicitado , fecha_turno , presento , matricula_med
43963883 , 14/5/1987 , 30/7/1987 , 0 , 11-089-2367
18902837 , 6/7/1994 , 23/8/1994 , 1 , 87-079-3429
48363879 , 4/4/1970 , 6/11/1970 , 0 , 43-282-5362
24266557 , 23/5/1979 , 21/7/1979 , 1 , 18-969-4799
48363877 , 16/11/2022 , 1/12/2023 , 0 , 12-566-1323
10242587 , 9/4/1988 , 15/4/1988 , 1 , 12-566-1323
34452826 , 7/10/2016 , 11/8/2016 , 1 , 99-286-5464
14642586 , 18/10/1983 , 1/11/1984 , 0 , 83-397-1896
24266552 , 17/3/1986 , 6/7/1986 , 1 , 80-302-1890
14642591 , 2/1/1970 , 21/3/1970 , 0 , 10-544-1336
18902831 , 8/1/1970 , 4/2/1970 , 1 , 43-381-9419
14642590 , 17/11/2022 , 16/1/2023 , 0 , 09-905-8721
34452820 , 1/1/1970 , 2/10/1970 , 1 , 83-397-1896
28666557 , 24/10/2018 , 21/11/2018 , 1 , 06-862-1290
24266559 , 8/3/1972 , 4/5/1972 , 0 , 38-776-3777
14642582 , 12/11/1987 , 1/4/1988 , 1 , 49-626-8557
38852825 , 17/3/1970 , 5/12/1970 , 0 , 71-923-9257
18902832 , 2/8/1970 , 15/9/1970 , 0 , 98-721-1083
48363880 , 9/1/1970 , 19/1/1970 , 1 , 11-089-2367
38852820 , 11/7/1973 , 8/2/1973 , 0 , 56-707-9622
28666552 , 16/3/2019 , 17/4/2019 , 1 , 06-862-1290
23302831 , 3/11/1985 , 12/7/1985 , 1 , 38-776-3777
38852827 , 17/1/2017 , 20/3/2017 , 1 , 76-093-4361
28666554 , 8/2/1970 , 3/4/1970 , 1 , 18-969-4799
38852826 , 31/10/1992 , 29/11/1992 , 0 , 08-944-6118
43963885 , 9/5/1989 , 16/6/1989 , 0 , 43-381-9419
23302832 , 14/11/1987 , 25/1/1988 , 0 , 38-753-2321
43963878 , 25/10/1988 , 27/11/1988 , 0 , 12-088-4730
28666559 , 19/12/1979 , 21/2/1980 , 1 , 80-302-1890
24266558 , 5/2/1995 , 24/2/1995 , 1 , 98-721-1083
24266555 , 24/8/1975 , 9/11/1975 , 0 , 98-721-1083
10242583 , 5/10/2022 , 10/10/2022 , 0 , 19-906-2636
14642582 , 29/3/1986 , 21/4/1986 , 1 , 43-381-9419
14642591 , 7/5/1972 , 13/6/1972 , 1 , 79-773-0308
