dni_pac , fecha_solicitado , fecha_turno , presento , matricula_med
43963883 , 14/5/1987 , 30/7/1987 , 0 , 11-089-2367
18902837 , 6/7/1994 , 23/8/1994 , 1 , 87-079-3429
48363879 , 4/4/1970 , 6/11/1970 , 0 , 43-282-5362
24266557 , 23/5/1979 , 21/7/1979 , 1 , 18-969-4799
48363877 , 16/11/2022 , 1/12/2023 , 0 , 12-566-1323
10242587 , 9/4/1988 , 15/4/1988 , 1 , 12-566-1323
34452826 , 7/10/2016 , 11/8/2016 , 1 , 99-286-5464
14642586 , 18/10/1983 , 1/11/1984 , 0 , 83-397-1896
24266552 , 17/3/1986 , 6/7/1986 , 1 , 80-302-1890
14642591 , 2/1/1970 , 21/3/1970 , 0 , 10-544-1336
18902831 , 8/1/1970 , 4/2/1970 , 1 , 43-381-9419
14642590 , 17/11/2022 , 16/1/2023 , 0 , 09-905-8721
34452820 , 1/1/1970 , 2/10/1970 , 1 , 83-397-1896
28666557 , 24/10/2018 , 21/11/2018 , 1 , 06-862-1290
24266559 , 8/3/1972 , 4/5/1972 , 0 , 38-776-3777
14642582 , 12/11/1987 , 1/4/1988 , 1 , 49-626-8557
38852825 , 17/3/1970 , 5/12/1970 , 0 , 71-923-9257
18902832 , 2/8/1970 , 15/9/1970 , 0 , 98-721-1083
48363880 , 9/1/1970 , 19/1/1970 , 1 , 11-089-2367
38852820 , 11/7/1973 , 8/2/1973 , 0 , 56-707-9622
28666552 , 16/3/2019 , 17/4/2019 , 1 , 06-862-1290
23302831 , 3/11/1985 , 12/7/1985 , 1 , 38-776-3777
38852827 , 17/1/2017 , 20/3/2017 , 1 , 76-093-4361
28666554 , 8/2/1970 , 3/4/1970 , 1 , 18-969-4799
38852826 , 31/10/1992 , 29/11/1992 , 0 , 08-944-6118
43963885 , 9/5/1989 , 16/6/1989 , 0 , 43-381-9419
23302832 , 14/11/1987 , 25/1/1988 , 0 , 38-753-2321
43963878 , 25/10/1988 , 27/11/1988 , 0 , 12-088-4730
28666559 , 19/12/1979 , 21/2/1980 , 1 , 80-302-1890
24266558 , 5/2/1995 , 24/2/1995 , 1 , 98-721-1083
24266555 , 24/8/1975 , 9/11/1975 , 0 , 98-721-1083
10242583 , 5/10/2022 , 10/10/2022 , 0 , 19-906-2636
14642582 , 29/3/1986 , 21/4/1986 , 1 , 43-381-9419
14642591 , 7/5/1972 , 13/6/1972 , 1 , 79-773-0308
28666561 , 1/6/1983 , 13/6/1983 , 1 , 10-544-1336
14642590 , 16/6/1977 , 9/1/1977 , 0 , 98-721-1083
34452819 , 16/2/1990 , 3/5/1990 , 1 , 83-397-1896
38852821 , 27/1/1970 , 2/9/1970 , 1 , 11-089-2367
18902834 , 30/4/2001 , 23/5/2001 , 0 , 06-445-0805
18902829 , 23/2/2021 , 3/10/2021 , 1 , 73-641-3487
14642589 , 19/7/2012 , 26/7/2012 , 0 , 83-397-1896
43963883 , 3/4/1970 , 16/5/1970 , 0 , 86-848-3881
48363882 , 22/10/2010 , 11/2/2010 , 0 , 83-397-1896
23302837 , 29/9/1974 , 30/11/1974 , 0 , 87-079-3429
43963878 , 6/3/2012 , 4/5/2012 , 1 , 46-148-9236
23302832 , 21/9/1983 , 11/2/1983 , 0 , 85-623-3585
48363882 , 24/8/1999 , 21/10/1999 , 1 , 76-093-4361
14642587 , 27/8/1988 , 13/10/1988 , 1 , 08-944-6118
38852821 , 25/1/2000 , 17/2/2000 , 1 , 19-906-2636
43963883 , 6/3/1973 , 4/8/1973 , 0 , 42-106-6046
28666559 , 4/1/1970 , 3/1/1970 , 1 , 10-625-2635
48363882 , 10/8/1978 , 9/7/1978 , 1 , 21-978-0218
28666555 , 5/7/1986 , 13/7/1986 , 0 , 86-848-3881
23302833 , 20/12/1990 , 27/2/1991 , 0 , 06-445-0805
28666556 , 21/12/1971 , 23/2/1972 , 1 , 87-314-3002
38852826 , 4/1/2007 , 21/1/2007 , 0 , 04-726-6430
23302835 , 24/3/1970 , 31/5/1970 , 1 , 48-648-3925
10242586 , 2/10/2013 , 20/10/2013 , 1 , 03-957-5455
34452824 , 6/2/2006 , 21/2/2006 , 0 , 49-626-8557
24266554 , 12/4/1976 , 25/6/1976 , 1 , 66-885-1601
28666555 , 16/1/1970 , 18/2/1970 , 1 , 46-148-9236
38852820 , 1/5/1992 , 27/5/1992 , 0 , 12-088-4730
34452823 , 9/3/1986 , 17/5/1986 , 1 , 76-093-4361
10242588 , 30/4/2012 , 5/12/2012 , 0 , 21-978-0218
28666555 , 24/4/1984 , 5/5/1984 , 1 , 87-079-3429
14642583 , 12/3/1970 , 27/3/1970 , 0 , 56-707-9622
28666556 , 29/8/1996 , 21/10/1996 , 1 , 80-302-1890
48363884 , 5/7/1996 , 28/9/1996 , 0 , 71-923-9257
10242584 , 5/2/1970 , 19/3/1970 , 1 , 79-773-0308
14642589 , 30/7/2009 , 8/10/2009 , 1 , 73-641-3487
14642589 , 20/12/1996 , 3/3/1997 , 0 , 03-957-5455
24266558 , 12/3/2021 , 5/9/2021 , 1 , 20-106-1058
10242590 , 12/9/1994 , 27/10/1994 , 1 , 42-106-6046
23302839 , 22/6/2019 , 23/7/2019 , 0 , 21-978-0218
38852825 , 7/3/1971 , 29/5/1971 , 0 , 10-246-2532
10242586 , 26/12/1987 , 15/1/1988 , 0 , 10-625-2635
28666561 , 17/1/2002 , 25/1/2002 , 1 , 10-246-2532
34452824 , 14/2/1996 , 3/8/1996 , 0 , 46-148-9236
38852826 , 5/1/1970 , 17/2/1970 , 1 , 38-776-3777
43963880 , 13/4/2016 , 7/2/2016 , 0 , 21-978-0218
38852819 , 14/5/1982 , 31/7/1982 , 1 , 03-957-5455
43963879 , 9/8/2001 , 23/9/2001 , 0 , 79-773-0308
38852827 , 23/12/2019 , 20/1/2020 , 0 , 42-106-6046
34452828 , 8/11/2003 , 24/1/2004 , 0 , 76-081-9297
28666552 , 14/6/2020 , 16/8/2020 , 1 , 87-314-3002
14642583 , 15/9/1973 , 11/5/1973 , 1 , 06-862-1290
43963882 , 1/1/1970 , 30/1/1970 , 0 , 66-479-9156
